-1788731.9724276729	  inf
-1353975.3442955883	2.43053e-01
-1351700.8265676086	1.67988e-03
-1352766.1346263429	-7.88124e-04
-1352134.5375957023	4.66893e-04
-1354193.5928609630	-1.52282e-03
-1356283.6996977385	-1.54343e-03
-1358740.3992758624	-1.81135e-03
-1361579.1019128747	-2.08922e-03
-1363990.2681033777	-1.77086e-03
-1366044.9096552981	-1.50635e-03
-1367826.9877670007	-1.30455e-03
-1369249.0089129447	-1.03962e-03
-1370351.5733644988	-8.05233e-04
-1371046.0218347611	-5.06767e-04
-1371756.6304722989	-5.18297e-04
-1372444.1300728908	-5.01182e-04
-1373119.7545731636	-4.92278e-04
-1373406.3757131493	-2.08737e-04
-1373536.0623349014	-9.44270e-05
-1373257.3687670957	2.02902e-04
-1373081.1638590407	1.28312e-04
-1373204.9298009297	-9.01374e-05
-1373339.4640412435	-9.79710e-05
-1373333.6861757161	4.20716e-06
